password,hashed_password,strength,weak_property
Cj9hL!C%eE,17e6ad2e3e024889bca5699b1cbcb8c9829aa03c26e4fdaf1a42f342277dbca0,Strong,Good balance of characters
CcVMQUnF3,86e172334aecb44d2ce88de91d4fa62140a54ca7d581560409f2879a62704202,Medium,"Include at least one special character (@, #, $, etc.)"
yjiag6Wm2,d954eac66045e6656ac46f623bcf4054db509eee4dd764ceebd75b69774f8906,Medium,"Include at least one special character (@, #, $, etc.)"
JNq$QRWDr27qo,cd83cdcb9f4737ef7c20e860cf7d77d00b1f52e2015fc079504ee0cbf210f3bc,Very Strong,Good balance of characters
WngdoIVC8Be,2229845253af0d3d09ce21fbde9bcf857669b8fb1d90d7c61297e412e8dd232c,Medium,"Include at least one special character (@, #, $, etc.)"
4%Do1,cbd81f133ca98b1eda2dda9141af6ee7b2ed9db7a882304ccf2304cbf8af659b,Weak,Too short (<8 characters)
SyOPBTCYvKVz,157b99e473045a11fced5b47fc5e328f2761886337ec77c8442be8f6832aeb69,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
UbKHbkMoqhOdUAh,6e19093edf0e5295c25be0bdf74cf2aed5227bffc478e48a54903713240983d6,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
B#INx*&PQBEq$Du,88e184e64e5d84787ddc7d7a63505d794a6eea9546155cfbdd9a0b1a7384f25a,Medium,Include at least one number
sYzhupwIrKmwP0,97c36908349dc7b5a45225ab893a6395a87770f5c56d0d652d1d9d856d4a0b33,Medium,"Include at least one special character (@, #, $, etc.)"
W7#8w*,11896a2071ab355bc894e58c4414cc1c6f9df15d5add0f205e586ae2de01a15e,Weak,Too short (<8 characters)
CBnjYdY,4688f06c236521a1e5a1e1a73388e49999ee8d39353f4991087a5b2a3f29b5ad,Weak,Too short (<8 characters)
p93uTmz,29e99453c6dea35d15619eb67699c818a3e32ce0691128ee53019d32538dbb82,Weak,Too short (<8 characters)
mn8rBvCRl,dd401d2b744383751bc84b961d6db150164234acd166f54ccc7712c6d1ba03e2,Medium,"Include at least one special character (@, #, $, etc.)"
N?1Cp679nJ,edd5be1caeb12ca73ecc685b2cc69352be1107cdae395587c6872c2ae857c0b5,Strong,Good balance of characters
&%3Ofzaq,9fc228f00a3ad4c06af997e52253136e9a24f288b8566b5208f62ec930383e89,Strong,Good balance of characters
9v0HLx,550d281065a7d5a31c50d212b6c36fd14261470825fed40e63ce051d7586c635,Weak,Too short (<8 characters)
gA6tZ3$?iSlVSE,54bda3c12664a15b612c997e3c8189568ab4c9b0f7980cd8235a65b142d71cab,Very Strong,Good balance of characters
MHlN*W8,ae36262eab73e5a44d64da3efcbe62c4b06a4d66f56ac12919dc35e5170a606e,Weak,Too short (<8 characters)
curXQGeHakX,9f69c2e1ac96e8295fe1ba8054e54d82bbe63fa852c531ca93d13a84cb5f9b09,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
PR03zq5qgdR,e688d6a3bef609f7406d11e65a11c826d5ef1ba42ecbb0c28d9c3efd99f1d2b3,Medium,"Include at least one special character (@, #, $, etc.)"
#GUjvxYXk%,32c1b696260206c91e20d12e93cbff478f3a7d1d9a808c16010ce72e305703a9,Medium,Include at least one number
oW18Lm2!Po!bfJJ,ad86812c121a854560e5fa375d2139c167d430d2f695637195e85e1230fa7b3d,Very Strong,Good balance of characters
RjcTxOtFyHNkIX!A,adab6c4bf97d54c85d46f52798269236b355bc229ee21f4f5b5ebd224f36ab71,Medium,Include at least one number
6SnCeF%fi?,7e8475fec0bfa7b9aceceadcc78658259ff235fde09e79519432fe2d366e792b,Strong,Good balance of characters
AZBbd1,863f1dcb62128e5efcb1ddef707218d1290f42fd3b448057fbc93c8246fbead4,Weak,Too short (<8 characters)
&TiMHRGsU?t0h3J,9087b197ff73816d19dffb971530dae109577ee7c5cdb8975fc40f9378d453ba,Very Strong,Good balance of characters
NP%poi4fq,6474620aac5674cef19216e74a7e9dc0506e0f559960afad03474cbe89bbbfa0,Strong,Good balance of characters
0*vecqEuFquImd,fe0fd5064b9c96f4682c6d962a789938fa3af40be29966575e4d097f487a6720,Very Strong,Good balance of characters
rmYWpNe,fccf7aec42c5393f3c6bcf87044ef6dc63de8b17e432760180ad717a7438f812,Weak,Too short (<8 characters)
P7lN1,9a01c415f4306a35fc67ec1af1b36ac5942415e1fab51930986f6db61ad7d114,Weak,Too short (<8 characters)
o6508M1VcU8l,06659552eaa01b8073f9a109c86373da9a909bcfb4e3b5555a538ec22ef70400,Medium,"Include at least one special character (@, #, $, etc.)"
v3nSaiY8K9,aba669cfef58fc10b247e075d913c710686f8ad6a014f67cd5dd69f598741716,Medium,"Include at least one special character (@, #, $, etc.)"
%cbf*e0EMjK,4f89294733608e2b4fb74c9243d1c1345ff01692f50a7fce595e224ec535b5e4,Strong,Good balance of characters
uXjl?!hvghSa6N,463602bba968745e52d7e8552105efdd75277d32f64c5556bc347101c8d98675,Very Strong,Good balance of characters
lGf*Wyti1,120f9cefa980698ecb1a8f2a99db5c7c31ec00892b55f94edaf238a554b87de2,Strong,Good balance of characters
xzqH5bbf*Cs,b7d438e4b75deea8dbabb2adc7b93969bb29ade5f2684dac55fa50cc441fc77d,Strong,Good balance of characters
zS%Yjo,2efcf1b9848420a857ae602e37eb6f4e7cc0f13a653ddc550eef3dc3936a76c6,Weak,Too short (<8 characters)
aGEv7$yU$spB,bbeba555e12e0f1649ce24e8410aedb71f488cd69b63342d20fa994cd65c3ca4,Very Strong,Good balance of characters
@&Fs6,95aa74bb191bfeb7aa0aa23c1aeabc7ecc1a25238ea38048d84b0b14f93bd368,Weak,Too short (<8 characters)
YpAR7trHdMrr,67bab33169073ef648a1bebd68747dc66b64272f8bc14c81be4a1c9ca531c4b1,Medium,"Include at least one special character (@, #, $, etc.)"
DF9ecfg75ni,7bfa5277d0ed4a786b27c8f2ec6ecda5045cfd1bad04f92737a57041a02c42c1,Medium,"Include at least one special character (@, #, $, etc.)"
lrfLd?1S#$P%,f23acf938de7e031d9f92973d01362f841b3578e195c980ea05081fec76f405b,Very Strong,Good balance of characters
DQrXRsL,d12a39ea19c438a11fc1cdbc20bc33de9599770b2cd34c0a2c2848afbf02f501,Weak,Too short (<8 characters)
jHCpIx@O91,b83748ce98f0cb143e591496401249e1e9f6bf27ec0309d93ad55cd4b774d4a2,Strong,Good balance of characters
HliG!Zotayg&p57R,237e15f9f7a60780ecb74541ed33904ee653828326b7ded7560da7801e3e6911,Very Strong,Good balance of characters
8%Dad2Z,06ebba57fd6062bda591d6db71556a1d199942015ff34c3b46626a46a8407d9b,Weak,Too short (<8 characters)
x2g7Lt*HlH#!Y,27444bf5d2dffb1f05010157476f206516bac1bfd44c64fc4ff90255d379820a,Very Strong,Good balance of characters
cKKT&E,bdccad880080dead7b9e2044ec53b65d48d6399c112eb65d0debacfa493e71d6,Weak,Too short (<8 characters)
rkE0Op5yvdaEg,de5b8c1c185d5e771c87e0f67a5385f9a8b0e6bbac071f43324136d621f9027c,Medium,"Include at least one special character (@, #, $, etc.)"
UqrGGT?r,9ee28731b8e17fd6ecaad998f051b84043bbc21a2d2c70f65f34c08911f99d50,Medium,Include at least one number
qU?YVxKvgBI,0210c2425f14ab01952cf2c9df12dd5a918b144ac4dff4bd82c31fd5d088a2ea,Medium,Include at least one number
e2T?AOAYnQ,3cc8d96592b6e9a30a9b848ea0f658a2ee639c373cb58becb33eb1eb7f6b9458,Strong,Good balance of characters
Qkwf*2K#a,7a7f87bff22cf1dd780beeca0b05a459ac9e7f78c822ec41626e5306df7d70e5,Strong,Good balance of characters
GF#&1qe0ili,a43d044d457a0c9733cb1c5314b33052aff21973e32cffa63e1bdfb1fa120f1a,Strong,Good balance of characters
low0j6frHX,c91abe310a6941789bbd47462069defd9e8aa9b70974ca3c97dc2161a2d262f4,Medium,"Include at least one special character (@, #, $, etc.)"
QIIEpDwqh,0ab3e341062ee746211f571179a63e5b4e5a07fb9c5da6da188a06dbbc5ae037,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
5wx@vg,a041c59e78bf52282adc77b9520f140ea2a6d2e5a29c9618682e3843aa9da5e9,Weak,Too short (<8 characters)
*r9eBa2,033ea4d993180be30a2215bd2e5e23291bcb1c2b14f46c64e95bb94f12698a76,Weak,Too short (<8 characters)
UzI5i%MaEw,b6d3211a21caeb7f782a24db8bcd25fdc4da357ee017125c2ab4e55d25dbc063,Strong,Good balance of characters
!dtv0HTQG2?yHup,a076a1cf2c2ecbf2b3a317ec0800bc3f871379045a60820319e0862c7466735d,Very Strong,Good balance of characters
4unO74tciSA28I,89d74a8755e2edf25eba23c97cbb2807b7169a2883ba38f5b36ebf7dd873c123,Medium,"Include at least one special character (@, #, $, etc.)"
hPr4B3Xc$,a19bab29111861bd83dbc04c9a340297d5f9c5b6d71212c089b3bfad75c7a841,Strong,Good balance of characters
c6yG*a3tZJD?c,e40b6661d0cccf94a77ecdb432d2280d2ca9bed85047b032aeae6b616c4f10b1,Very Strong,Good balance of characters
FVj8tgG,440e9a1d14f2de9b6fdabf38940f1c96af219661ce4504b57ad32c840609583e,Weak,Too short (<8 characters)
M&1xo@,cdf9e408fd3e147db093a38b2d91db8bb415d87399749f85f73f43e56d127192,Weak,Too short (<8 characters)
0X*mU$5,8a33e1f2293d0fc987c66140cda95b59635ac80d75934a8d5b360500600701dd,Weak,Too short (<8 characters)
ozhz1ou@d*4,bf3fd14977500ad7eaf4f8550c9f4b2a661a7af1ebc337247326dd473e82688a,Medium,Add at least one uppercase letter
!kgw*aWSg,158d2332ea854ab617caf6167eac5912d250e6af2e676f9d68c8e6ab2acf31b3,Medium,Include at least one number
HgJfFIW,339911010e505d54f4218b42480befbf02c693b83e07f00946f642c82d18b93c,Weak,Too short (<8 characters)
CPL%vJh3u14,d48e678f0eba0fcb6964e08f038849fa9de36f14c6e022981400f77f5b05df4e,Strong,Good balance of characters
68Kt0&OxooBm,714e5daf840adbc16b9e588b0a6b7fd4f1b2f7d89759c6ca5be4c558ddd0e94a,Very Strong,Good balance of characters
BdI*F6NBheE7X8,7de5e59ebdb650fd50e47c9be5d421872f66fa1e6538d9b30fe2d0dbe46eba73,Very Strong,Good balance of characters
6&tG1RSRz%,00e92d91c1d4cb12929c3966bb819b48927567550b9dee684adfcedafcdaccd8,Strong,Good balance of characters
U4kxJtnxL&KauT,f617dad302dcb3e6b1c79233bb5d832226b43de144c0503331fe09daf4965b21,Very Strong,Good balance of characters
9TQZBKa,63af53dff3fe559515db4b291f364d2316c59c1c7265dcebfcc079f640176204,Weak,Too short (<8 characters)
Z13ZH5,dc7eadabcbe686c9056dce8639f0568b3298f3ac5f3398774fb842ee8525d82a,Weak,Too short (<8 characters)
diUWvaN,7cff28231dd7d048c3047e4bded946f3cd4977539eebb830040ca8d1dd0caa57,Weak,Too short (<8 characters)
S2!F7wNlWv*11Y,4cfd9e6a5b0a7d0eae99d504911c5b4c2c7d370451bdff2992f18ce398a28586,Very Strong,Good balance of characters
KohD0Nkv$KIuk1,c40ed2e42f5e8aa4295753674bb7a5d46924c30b089ed6370508650c11cd2f90,Very Strong,Good balance of characters
N0SDe,d857162c1a4a03a7e40d3be52a6cfe53c401838c717d71ccf091c1387868240c,Weak,Too short (<8 characters)
sOZo!8otiL,0d364e848cac378c903285930bc4326d76b8d32b1276257f85499e3ae215f49a,Strong,Good balance of characters
K3U32,9b3b11fd79f308046de1981ab8ca2691a7241cfe3c18bf803a1662f3339a5d8b,Weak,Too short (<8 characters)
dGkj*9J*jXs?wHAe,69d5ce3266c5587f041f9d0a7bb7cd9a76a87561f1aa76bda55f8e5916efec94,Very Strong,Good balance of characters
0RXUiqQ8YzzS1W,534a506eee8a90460f6d51958cb2324c2261024f9957a9e79359ab2796113f5b,Medium,"Include at least one special character (@, #, $, etc.)"
S2LPZc7HAovC,6fdd90bb5f2beb97ec4aa011589d6d020303806def3af99ba8d890b719cdc6bc,Medium,"Include at least one special character (@, #, $, etc.)"
lUSoyZ0Eo3yy6,0ecaa8b2eb3c638b376246a972bc44e8b67aa0def4cd9c602ea527c99229c3f9,Medium,"Include at least one special character (@, #, $, etc.)"
2hA5*WXf,93fb4a5bbf4ed61247b15523527cc12293f2b18074e6e8aa1de364c90cf828e4,Strong,Good balance of characters
!KeYxqv,1ceaeea91e4348f5f1ca52e69eed4f126a7aa184c981cc2d8ce6987f994cd155,Weak,Too short (<8 characters)
8&mmyP4,9c1d4151d6b4e1bf93446d2aa7a68fe7664af9594188b8e989d4c514aeb6cd3b,Weak,Too short (<8 characters)
tsnJCfLqZNL%Ylot,56e35eb97909accd458e74b144e98dd2c83ce950bf0277da5295ad7d245eeb59,Medium,Include at least one number
Heei1CvbU&,13f29c937723555fbcc342f855ce25e31c1b096f6bd20175185abb98851347ef,Strong,Good balance of characters
8nwxl*Dr,d4542e6c95f534a55008473abf098f5a5818876bf70d819fe0fab2bdfb26f995,Strong,Good balance of characters
vYeM05&,b931795330a911c7d0778cd8286540bdbd36c3259768699223d309ebe0054def,Weak,Too short (<8 characters)
RuO@fTbTP,052e33cbe304f5e1744d7b16e0b2aec0bfef90cdad751dfa07e507d02b37d6e1,Medium,Include at least one number
iQ!7SlQDCjT6,3c03e45f93ec8227ed7d4cf6be928c1f9bc5496c0539b7636975877293b16cec,Very Strong,Good balance of characters
sN9AYed,fde66068b123c25dd12508bfb6aaa76d0a686fbbf8590a76e74588ebc4454c1b,Weak,Too short (<8 characters)
5XezUHA*h?l,084f4f6ec44d5d4720e1eca78d2a8035bd4f4af9195bc14dd09cd8b8d609fd8e,Strong,Good balance of characters
IYNPAG6!t!m,b2e91b36ab3d81488bec312c5c703856d7962433e557df83db6277f1cf573b86,Strong,Good balance of characters
sQhE!qC,94904ea1726c2723269c5858b6879c016d56ce1e30c2006c53b9ae5185e09564,Weak,Too short (<8 characters)
uVIs@XwG*5,e611f3cf7f0991fd94428abaf42ce1fa6038d82ad444c9fd6ed2e8c9e49361bd,Strong,Good balance of characters
N@8u*AiEkUSOu,b30722232119d3ad853537f272b4478c4988582ebe54ac353cdbb4bd3e3159df,Very Strong,Good balance of characters
gG1vAG,e32fda7c7e817883deac34f63ef77843365c73104813aa9d1b6dfd1a7b41cafc,Weak,Too short (<8 characters)
N5HDDNb%3pNt7,1bb9ce20bf96b1ceed25903981208e5a0a30d1b5abe865397305489efb180548,Very Strong,Good balance of characters
L4YFG!msg#pf#AJ,788ce0cf373ed2947225678b904d8417ae4978f011ed0fab5bff17237bf74096,Very Strong,Good balance of characters
zFJWzoRra9W,48874e4eddd6eb41190ee8b1daa5ed5b1df54fcee2caaef24c43a9d3c9ec6fb6,Medium,"Include at least one special character (@, #, $, etc.)"
Z!3FASTlAEXyO3Y,156679792153100a9ee215622f6cc6763907712582cd084047b0a570c751f3f3,Very Strong,Good balance of characters
mtz!!1zB3,e5669cea2b533d730e896c1e038ce96faf207c5cac7ceb2e5f3d529993cd1868,Strong,Good balance of characters
CEq?W#I*Niq&&T?2,2b2d16f20d4ab355915de8d89a3be7d4cdd1dab6d0497743cf34a8573142ed31,Very Strong,Good balance of characters
Ii!dlfVyBVxU1,8931796cef098d57f6d845ee9b7ce04a0c4d44894cdc252a148c54cb6cfc41eb,Very Strong,Good balance of characters
BMpyLk,f6dc139f02657248c6c09117345f68b9ca79500a4daa54905f6b292f26b0f5f5,Weak,Too short (<8 characters)
YQgehXgAUlik,ac74bbc304669571b82a4fef486ce3ed0299e30533329f9d9afcde8e7ac50c3c,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
Au!s8aIgxodB%,4ed97b640d579d2cd827914cc24ba4605b817f5fdecc65b9e4d8a51a01dec4f1,Very Strong,Good balance of characters
CA9Y6Ehp@rvo,cf3717402c1fb455624c9ef1b50ae8ed3a283ee15c9c6406aa36cc2a570c6a29,Very Strong,Good balance of characters
XbB3Hg,7fe339db3106e3d139830c5e9a7556f0c7cdd02ae209a90667b4eee7ab930217,Weak,Too short (<8 characters)
xVX3n$A,901ff59b6096d0753e2d6aa45addf74f0525f6fa341fa7303b4c3ed6c7f20d70,Weak,Too short (<8 characters)
A6H9U%VCi$bEwQr,0da4a99711892ddcde0e007616f7b27111d10a14272de7f9f81be4628f8cec02,Very Strong,Good balance of characters
w1*ycqD6,ddaa4a7bfa968656c8fb6fb82f6849acfab3f3c25358376541d3c78146bdd15a,Strong,Good balance of characters
?0cjMVu3,8a300657621c979527e36d43479117e88f28928dc70e6c7a399fa322d0a56639,Strong,Good balance of characters
dV3QtXI1aV!J3V,d5ee45a672e14c2d481d387f31289958571b8e299ef385096364eeb6fda66cdb,Very Strong,Good balance of characters
8UPd4*b4,e4e814d3806f845842d6abdfcba3c9cc3477eb905e8159c3ff4a58a038b417f4,Strong,Good balance of characters
2c7rWR0Jr$,80610be4cc03cde4b497a67e583bde4d99ffc59ebc8b7698c9fc9576644322b6,Strong,Good balance of characters
EOfwznH%Dg,994baa5a5eee8559a3de263024d6ef1a20e9d9128f1361b6fd3c5aa5ebc5cc5b,Medium,Include at least one number
EFfOeWge7,8f43ce99efa9db5639424b28b7313e9066a257cd09a434e5b3ac5f7d7f2cb988,Medium,"Include at least one special character (@, #, $, etc.)"
sZmFrW,c873b6fc532e2280fc2680a1d70217a3c78e9e4b28fb6729f63453caa1f609d6,Weak,Too short (<8 characters)
AgXWj,b68bf00ba9c863c319921aa6b34be4b5a181385bd845373d25ea9a625e6b75da,Weak,Too short (<8 characters)
QTM0lT1cWa5I,ec1c3ef145872b56aeaa821b785890ac7e84cb74fffea2a22bb4608e521a5f14,Medium,"Include at least one special character (@, #, $, etc.)"
cF83%5R?6Qg,f690170b8c1d25806549e5d0379d1d9b9c5a7dc40fdebb6dbff1c10bb54ce90b,Strong,Good balance of characters
0!sEC5DZ0MowD6Q,d1d65a035d4386cb8ce1f6898650cfcf548ebe7ae30f59308190183b124fd2ef,Very Strong,Good balance of characters
yKb3VVdgxX55Yf1G,4993d05ffbcf3a9ddd23c964dc18412f437c0fcc8384c6e3e61727006093c249,Medium,"Include at least one special character (@, #, $, etc.)"
EZudC8DHzK,cf8091b43d8fefc82267d3745811edeab3db217536a989d7b3650b2a96061c0c,Medium,"Include at least one special character (@, #, $, etc.)"
8TRuT2ThNvz,0e0444672c1bf2533a4bb4d03f679f66dbda24cc006cce2445fc4e330654d750,Medium,"Include at least one special character (@, #, $, etc.)"
uV5#AL!2c$U@SeBr,4a674c31fc0092c14217066121a6ef5b1cf31a7469ac92ee01297e51a67aae3f,Very Strong,Good balance of characters
gZrBEA$phA@1o,cefcebdb7540923c724dcfabd964245f1de51c2e516160c344323cdaee4a3bee,Very Strong,Good balance of characters
iTU#SEk@IqeReG@,c990ea740fd742dcebb78bd548814d9887ef1a4212837592dff5cd922fcd5742,Medium,Include at least one number
QNJou1K$&1axS,710efc4dda2ec86489edc5b6ebb84a59120f373f0f27291c384e568ae174047d,Very Strong,Good balance of characters
DanP5XbD7qh,c0c67584b575a73bf714ffeeee446342b53f7040601ae2c2cd9f444cb4080544,Medium,"Include at least one special character (@, #, $, etc.)"
e9m9k66mSQ#7Im,810aa898f675863cb6b7539a058f00309bc9de11c5c95cbe22f4b049b4aa0218,Very Strong,Good balance of characters
?NYLKBVCmFACVG!8,1614df3c0958c2ebf940152e72fa97d46df179da3efb1ef858f55a061d4ce185,Very Strong,Good balance of characters
$@Mvw1Yneyu4MHqg,89b304f79d3c3f49d293949b54f0f2a714984f100a96ef0b28766bcc5b5ebee9,Very Strong,Good balance of characters
5RhGghfv?a6W,9f65efffc942309416e0bdb1c1744c9a2d89bd3cb235f74488935664c3bf9c7a,Very Strong,Good balance of characters
405F3@kW,8dd960bca195fbd04a1700b3ae63ba4e8def2be73c2733367d653ef064199c44,Strong,Good balance of characters
raDwO9413f$2nSK6,2ca161e8f32fd46a995978eaaa09335f558800673870a5794cda507d6cf281f1,Very Strong,Good balance of characters
8XDVE6FcGMSaacw,5cebf46f2ad92f6f10797e3c952535bd86b5b8352111457c4832c29d41cca054,Medium,"Include at least one special character (@, #, $, etc.)"
YZBvL8KZup,4078ee60e7311fe6f946ccc8ac5a04e386a2dad2cfeebd4f4a766ead7e07c766,Medium,"Include at least one special character (@, #, $, etc.)"
5HlerqLznO,eacbfcdbcd98f238da7d76b0d2576d6e00a14b2ee8934ea0501ebb2fa7f172ae,Medium,"Include at least one special character (@, #, $, etc.)"
WLs4Kn,f942d003e4cda28989a2298aed850dc58b9780136482184e6609ab5ab71063d6,Weak,Too short (<8 characters)
hho%&e72Wa#HAD,82129f63882b3068a72c368c31c9843be40370f210e69e9e27e8780105183a64,Very Strong,Good balance of characters
R1&*cad2Wc,15e6242e38e0539b2eea7082f108a30fb169b4d123f1631e6ccc4af01e6b46db,Strong,Good balance of characters
ZJk2L#6XKFlfKT4,ed624fe2e251f939f7023e220687402af9ac5970c149c8abed980a3dcfefb64e,Very Strong,Good balance of characters
vPrd7KBuCSs,38449d6517c64681f66f672360245b67cb07c15881b3840562645e1c266f60b9,Medium,"Include at least one special character (@, #, $, etc.)"
uqlF9qHa@No3z,6607427bab3f65c6435f8be41fd43a151746c2bc74006960f9d2bbe1af445d63,Very Strong,Good balance of characters
LvJ$c,159ab7c1b94e5dbe48ed0a68ab96521eb8d87a28ee1d081bf1628aebba87582f,Weak,Too short (<8 characters)
ZbvPO3MakJC84,20046b9306021aa9925d64eba87e3cb2595aac721b3c2af44ba79f9c10bc45f7,Medium,"Include at least one special character (@, #, $, etc.)"
S!yJoTHXIzl9,b90858d0e3323c06ac49c1921730ad7bf9a3f3fd7339da716d75b2921cb9f1b9,Very Strong,Good balance of characters
LoUvM,0d7e7352383c5a0eff4b456e2758f527679591541705ac6b589a2842b895e244,Weak,Too short (<8 characters)
UZVAao?jzWttg,caf6f9ef5c71e95badd0269c16b7cd64c33662ecb36c5a3358d4631e9928b557,Medium,Include at least one number
*!i1Ap%7T,4ab5e1780cd21cd49f5658a1301eca2372e879ae60180a265eb255d37bc520b4,Strong,Good balance of characters
S8cusr$Z,5a564fcc21c86618983fa852f25f12ab38741f5a0e65c953cbd4d88597b271d2,Strong,Good balance of characters
QTNYxO&?iSEWxe,2b36c1784d7e45e3eed8bface1cb67ce4e11a37f0476f31d300160063cd67ef1,Medium,Include at least one number
XY6aiYzEwgFJ,1bcbae2c8bbf99957f797db113633cee2825ade11d8f9d8462d46cf14a04a088,Medium,"Include at least one special character (@, #, $, etc.)"
d*YqGZFQwSFncwHc,c8abef917dda8ae14e08d23edf991462895c187d830200e3e4f37431ac413077,Medium,Include at least one number
s%n4DiLB#csM,6e06f6f677e3df75e96c8f29a079fd55b875289fbde1bbd2c69c482208ef4912,Very Strong,Good balance of characters
Vt#WQS*heXSbM@K0,13c779043773d678aa1fc606a43812ed8e27cc8cba766d84c6b43631affbbd03,Very Strong,Good balance of characters
?GF0O*0Gyphu,85fa037ca79782d353c2da010006a6c6c3cfbdfd41fac616accd585ab1bdcd09,Very Strong,Good balance of characters
V$7xkR%,fddda777d4d743b103171d12a3460981c9cac035572f7cd374bd25a76b62e8a1,Weak,Too short (<8 characters)
*C015L,65b2b78c74f4dddee294b6d2cb909d1386318ee868aa63a774ef40a3c39b4507,Weak,Too short (<8 characters)
Sfx51gIXav$bf55,43887e5570155f57f79aa1a572cb3aa4b0df9e4133ac0b2df896b259d9e85f88,Very Strong,Good balance of characters
ps!5qE,6bddc05ae1da638aca87a33c863ab60b9dfd0d8c7205e22310cc8614785014dd,Weak,Too short (<8 characters)
u*n8WJjvQ,f049e499b75df6a38423ccfcc9a3690a31939e838cd903dd3f5dac637e887ef7,Strong,Good balance of characters
@W0qkYRHQ7pf4,041015bf6d62bddfe6d5d1d86c8d1b8c412c372e3c892a693f78393e9ae4883a,Very Strong,Good balance of characters
rlayL,012c6b6f7dc181e7038da9c4818ba6ab0e217b3deac7a26f952e3fe814970da0,Weak,Too short (<8 characters)
B%a$RR,706b8da6d8539a0107570e54c2e974f92fdafa625c70a6dc426eeb75b6d62e29,Weak,Too short (<8 characters)
N$lx@4zXa7eI7,0439abd3eac97e870ed22d992520e8404f8aedee607efd37d9923c777df139b5,Very Strong,Good balance of characters
OQTsj#I,c513a256b52626a01ac52791fb30f98e81498a927dc40eba7d43b8dbd07ed601,Weak,Too short (<8 characters)
E@Ortqa$,6514c026822b15a24915895c1c2f03152bd5617a6a3dea0e7eb1b75553f8b88a,Medium,Include at least one number
NptPZkZdF,9170df08c9cb2494f841c0fcc04c1540bed49cd6cfceb4cf56ce278b13fd60a6,Medium,"Include at least one number, Include at least one special character (@, #, $, etc.)"
UartZ,de59b2600a236f0e94f70fecc07b9023943560c71c3f5106f4ea5d08f446c982,Weak,Too short (<8 characters)
VxErVAt&Gcj1BJ,c232809afa147202aa896886ae249e21038c359d8fad84f7cb24c7c63120f601,Very Strong,Good balance of characters
c$mfAusH$FfJGE,228a8839f22cd4283bc825df17eacb5ae6ffd9a48c61c2605ae3800238aed1ec,Medium,Include at least one number
tS5$5H$6&6gbEr9a,d34e4b510b3c27e7909b7dad152e26a6a0fa709b1ebb172cafe00c1564ab97ab,Very Strong,Good balance of characters
R8poDuHFFRscdyw,e5d8d384664efc8ff348f51864be3401a430f7a037b18d32ea412a8f4e012b4c,Medium,"Include at least one special character (@, #, $, etc.)"
W%cahJC!xdh1kbcU,eba2afa172502576822f88f2218bccb73a6370d52b2ca29d97ee22fd4a93f019,Very Strong,Good balance of characters
2#QSSw,e0c2c3ef5ab8ec93e55fcf7c1d99eb03cd913e9990c36a56f74d61f152fc9558,Weak,Too short (<8 characters)
eSV10,10da0be75a97af66917d0a009e7a2898e04543b5010efcbd0fbc7978bba066f6,Weak,Too short (<8 characters)
dXGus#rv,edbce4be91bf626b7d48285975da07d51f37023b39b78b65e28e3fdfd6a8dcb8,Medium,Include at least one number
fqZJdnE,098653e5dfad0fd997fffdfa53f5c765fac2bc982df4fc5ae4f8baef4b83c255,Weak,Too short (<8 characters)
pLhr01Gwl%1,d4bdc8237cc86c69b6b5c00580522f950c92a887793440ba35569da293044a2e,Strong,Good balance of characters
#pBT6,fe572014bcdb325307f841d9a8b3a4386b3ad4d15fc19bd04f5374ca1e594f9e,Weak,Too short (<8 characters)
SL?a7*MIs,09153ed9ac0a27e6d410c1673a900f8d890f0869b4b204727ff1fd145a3875eb,Strong,Good balance of characters
u5uDjI9LOjjk,953dd341cca3610d7ce8cd4ad0e4eaa52c83edd5c0b96e5021447a45cfad830b,Medium,"Include at least one special character (@, #, $, etc.)"
!xfp4XZ1E0N,fecee3a83a05d922dcd5b4310d57ab6023b6429d1b2c673e23db75329bd25ddf,Strong,Good balance of characters
S9LfK7t0MMNg,71b74a7ea31ca301d1c09b9800729f993de7c34d52921c9dec9b963e48ad6a62,Medium,"Include at least one special character (@, #, $, etc.)"
